# Code book, raw-data file experiment ALEXIS 108: Extra experiment on detection.
# Detection of lag click: standard (s) = diotic single click, variable (v) = dichotic
# click pair (with fixed ild of -10 dB randomly pointing left or right). Peak of 
# standard fixed, peak of variable was varied. 
# Method: 2AFC with reminder. Possible 3-interval trials of equal probability: 
# <s, s, v-left>, <s, v-left, s>, <s, s, v-right>, <s, v-right, s>.
# Two response alternatives: "second", "third".
#
# Columns in raw data file 
# id: unique number for the listener = 1007
# date: date of testing
# time: test time for each trial
# day: rank order of date the experiment was conducted
# session: session number, there were 12 sessions, run on the same day
# trial: trial number within session, from 1 to whenever the staircase stopped
# tau: inter-click interval in ms
# ild: inter-aural-level difference of variable, always 10 dB
# ratio: dB-difference between lead and lag click of variable
# revno: reversal number, equals 0 of the trial was not a reversal
# speak: peak dB (re 0 dB) of standard (diotic single click)
# vpeak: peak dB (re 0 dB) of lag-click (dichotic click-pair)
# correct: Position of variable, in third interval (0) or second interval (1)
# answer: The answer given by the listener, "third" (0) or "second" (1). The answer 
#         was correct of answer == correct
#
id, date, time, day, session, trial, tau, ild, ratio, revno, speak, vpeak, correct, answer
1007, 2017-07-31, 14:41:53, 1,  1, 1, 5.00, 10.0, 10.000000, 0,    -18.872527,   -18.872527,   0,    0
1007, 2017-07-31, 14:41:55, 1,  1, 2, 5.00, 10.0, 5.000000, 0,    -18.872527,   -13.872527,   1,    1
1007, 2017-07-31, 14:41:57, 1,  1, 3, 5.00, 10.0, 0.000000, 0,    -18.872527,   -18.872527,   0,    0
1007, 2017-07-31, 14:42:00, 1,  1, 4, 5.00, 10.0, -5.000000, 0,    -18.872527,   -18.872527,   0,    0
1007, 2017-07-31, 14:42:02, 1,  1, 5, 5.00, 10.0, -10.000000, 0,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:42:05, 1,  1, 6, 5.00, 10.0, -15.000000, 0,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:42:07, 1,  1, 7, 5.00, 10.0, -20.000000, 0,    -18.872527,   -18.872527,   0,    0
1007, 2017-07-31, 14:42:10, 1,  1, 8, 5.00, 10.0, -25.000000, 0,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:42:13, 1,  1, 9, 5.00, 10.0, -30.000000, 1,    -18.872527,   -18.872527,   0,    1
1007, 2017-07-31, 14:42:15, 1,  1, 10, 5.00, 10.0, -25.000000, 0,    -18.872527,   -18.872527,   0,    0
